tipoDocumento,competencia,vencimento,valor,valorNumero,status,voceJaPagou,id
Envelope de Pagamento...,12/2023,19/01/2024,-,,Não consultado,false,Envelope de Pagamento...|12/2023|19/01/2024
DAS MENSAL,11/2023,20/12/2023,-,,Não consultado,false,DAS MENSAL|11/2023|20/12/2023
DARF FOLHA,11/2023,20/12/2023,-,,Não consultado,false,DARF FOLHA|11/2023|20/12/2023
Envelope de Pagamento...,11/2023,20/12/2023,-,,Não consultado,false,Envelope de Pagamento...|11/2023|20/12/2023
DAS MENSAL,10/2023,20/11/2023,-,,Não consultado,false,DAS MENSAL|10/2023|20/11/2023
DARF FOLHA,10/2023,20/11/2023,-,,Não consultado,false,DARF FOLHA|10/2023|20/11/2023
Envelope de Pagamento...,10/2023,20/11/2023,-,,Não consultado,false,Envelope de Pagamento...|10/2023|20/11/2023
DAS - MENSAL,09/2023,20/10/2023,-,,Não consultado,false,DAS - MENSAL|09/2023|20/10/2023
DARF FOLHA,09/2023,20/10/2023,-,,Não consultado,false,DARF FOLHA|09/2023|20/10/2023
Envelope de Pagamento...,09/2023,20/10/2023,-,,Não consultado,false,Envelope de Pagamento...|09/2023|20/10/2023
DAS MENSAL,08/2023,20/09/2023,-,,Não consultado,false,DAS MENSAL|08/2023|20/09/2023
DARF FOLHA,08/2023,20/09/2023,-,,Não consultado,false,DARF FOLHA|08/2023|20/09/2023
Envelope de Pagamento...,08/2023,20/09/2023,-,,Não consultado,false,Envelope de Pagamento...|08/2023|20/09/2023
DAS MENSAL,07/2023,21/08/2023,-,,Não consultado,false,DAS MENSAL|07/2023|21/08/2023
DARF FOLHA,07/2023,18/08/2023,-,,Não consultado,false,DARF FOLHA|07/2023|18/08/2023
Envelope de Pagamento...,07/2023,18/08/2023,-,,Não consultado,false,Envelope de Pagamento...|07/2023|18/08/2023
DAS MENSAL,06/2023,20/07/2023,-,,Não consultado,false,DAS MENSAL|06/2023|20/07/2023
Guia de pagamento,06/2023,20/07/2023,-,,Não consultado,false,Guia de pagamento|06/2023|20/07/2023
Envelope de Pagamento...,06/2023,20/07/2023,-,,Não consultado,false,Envelope de Pagamento...|06/2023|20/07/2023
DAS MENSAL,05/2023,20/06/2023,-,,Não consultado,false,DAS MENSAL|05/2023|20/06/2023
Guia de pagamento,05/2023,20/06/2023,-,,Não consultado,false,Guia de pagamento|05/2023|20/06/2023
Envelope de Pagamento...,05/2023,20/06/2023,-,,Não consultado,false,Envelope de Pagamento...|05/2023|20/06/2023
DAS MENSAL,04/2023,22/05/2023,-,,Pago,true,DAS MENSAL|04/2023|22/05/2023
Guia de pagamento,04/2023,19/05/2023,-,,Não consultado,false,Guia de pagamento|04/2023|19/05/2023
Envelope de Pagamento...,04/2023,19/05/2023,-,,Não consultado,false,Envelope de Pagamento...|04/2023|19/05/2023
INSS,03/2023,20/04/2023,-,,Não consultado,false,INSS|03/2023|20/04/2023
DAS MENSAL,03/2023,20/04/2023,-,,Não consultado,false,DAS MENSAL|03/2023|20/04/2023
Envelope de Pagamento...,03/2023,20/04/2023,-,,Não consultado,false,Envelope de Pagamento...|03/2023|20/04/2023
INSS,02/2023,20/03/2023,-,,Não consultado,false,INSS|02/2023|20/03/2023
HOLERITE,02/2023,20/03/2023,-,,Não consultado,false,HOLERITE|02/2023|20/03/2023
DAS - Mensal,02/2023,20/03/2023,-,,Não consultado,false,DAS - Mensal|02/2023|20/03/2023
DAS - Mensal,01/2023,22/02/2023,-,,Não consultado,false,DAS - Mensal|01/2023|22/02/2023
